id,group,task,method,seed,budget,assigned_profile,job_status,primary_reuse_status,deployment_status,required_gates
core__go1__flat__s1,core,go1,flat,1,32768000,wsl_core,planned_not_submitted,none_approved,installed; production release requires READY.json,verified source/runtime/checkpoints; per-row valid specification when applicable
core__go1__flat__s2,core,go1,flat,2,32768000,wsl_core,planned_not_submitted,none_approved,installed; production release requires READY.json,verified source/runtime/checkpoints; per-row valid specification when applicable
core__go1__flat__s3,core,go1,flat,3,32768000,wsl_core,planned_not_submitted,none_approved,installed; production release requires READY.json,verified source/runtime/checkpoints; per-row valid specification when applicable
core__go1__flat__s4,core,go1,flat,4,32768000,wsl_core,planned_not_submitted,none_approved,installed; production release requires READY.json,verified source/runtime/checkpoints; per-row valid specification when applicable
core__go1__hpqn__s0,core,go1,hpqn,0,32768000,wsl_core,planned_not_submitted,none_approved,installed; production release requires READY.json,verified source/runtime/checkpoints; per-row valid specification when applicable
core__go1__hpqn__s1,core,go1,hpqn,1,32768000,wsl_core,planned_not_submitted,none_approved,installed; production release requires READY.json,verified source/runtime/checkpoints; per-row valid specification when applicable
core__go1__hpqn__s2,core,go1,hpqn,2,32768000,wsl_core,planned_not_submitted,none_approved,installed; production release requires READY.json,verified source/runtime/checkpoints; per-row valid specification when applicable
core__go1__hpqn__s3,core,go1,hpqn,3,32768000,wsl_core,planned_not_submitted,none_approved,installed; production release requires READY.json,verified source/runtime/checkpoints; per-row valid specification when applicable
core__go1__hpqn__s4,core,go1,hpqn,4,32768000,wsl_core,planned_not_submitted,none_approved,installed; production release requires READY.json,verified source/runtime/checkpoints; per-row valid specification when applicable
core__go1__neural__s0,core,go1,neural,0,32768000,wsl_core,planned_not_submitted,none_approved,installed; production release requires READY.json,verified source/runtime/checkpoints; per-row valid specification when applicable
core__go1__neural__s1,core,go1,neural,1,32768000,wsl_core,planned_not_submitted,none_approved,installed; production release requires READY.json,verified source/runtime/checkpoints; per-row valid specification when applicable
core__go1__neural__s2,core,go1,neural,2,32768000,wsl_core,planned_not_submitted,none_approved,installed; production release requires READY.json,verified source/runtime/checkpoints; per-row valid specification when applicable
core__go1__neural__s3,core,go1,neural,3,32768000,wsl_core,planned_not_submitted,none_approved,installed; production release requires READY.json,verified source/runtime/checkpoints; per-row valid specification when applicable
core__go1__neural__s4,core,go1,neural,4,32768000,wsl_core,planned_not_submitted,none_approved,installed; production release requires READY.json,verified source/runtime/checkpoints; per-row valid specification when applicable
core__go1__symbolic__s0,core,go1,symbolic,0,32768000,wsl_core,planned_not_submitted,none_approved,installed; production release requires READY.json,verified source/runtime/checkpoints; per-row valid specification when applicable
core__go1__symbolic__s1,core,go1,symbolic,1,32768000,wsl_core,planned_not_submitted,none_approved,installed; production release requires READY.json,verified source/runtime/checkpoints; per-row valid specification when applicable
core__go1__symbolic__s2,core,go1,symbolic,2,32768000,wsl_core,planned_not_submitted,none_approved,installed; production release requires READY.json,verified source/runtime/checkpoints; per-row valid specification when applicable
core__go1__symbolic__s3,core,go1,symbolic,3,32768000,wsl_core,planned_not_submitted,none_approved,installed; production release requires READY.json,verified source/runtime/checkpoints; per-row valid specification when applicable
core__go1__symbolic__s4,core,go1,symbolic,4,32768000,wsl_core,planned_not_submitted,none_approved,installed; production release requires READY.json,verified source/runtime/checkpoints; per-row valid specification when applicable
core__go1__nesy__s0,core,go1,nesy,0,32768000,wsl_core,planned_not_submitted,none_approved,installed; production release requires READY.json,verified source/runtime/checkpoints; per-row valid specification when applicable
core__go1__nesy__s1,core,go1,nesy,1,32768000,wsl_core,planned_not_submitted,none_approved,installed; production release requires READY.json,verified source/runtime/checkpoints; per-row valid specification when applicable
core__go1__nesy__s2,core,go1,nesy,2,32768000,wsl_core,planned_not_submitted,none_approved,installed; production release requires READY.json,verified source/runtime/checkpoints; per-row valid specification when applicable
core__go1__nesy__s3,core,go1,nesy,3,32768000,wsl_core,planned_not_submitted,none_approved,installed; production release requires READY.json,verified source/runtime/checkpoints; per-row valid specification when applicable
core__go1__nesy__s4,core,go1,nesy,4,32768000,wsl_core,planned_not_submitted,none_approved,installed; production release requires READY.json,verified source/runtime/checkpoints; per-row valid specification when applicable
core__go1__ppo__s0,core,go1,ppo,0,32768000,wsl_core,planned_not_submitted,none_approved,installed; production release requires READY.json,verified source/runtime/checkpoints; per-row valid specification when applicable
core__go1__ppo__s1,core,go1,ppo,1,32768000,wsl_core,planned_not_submitted,none_approved,installed; production release requires READY.json,verified source/runtime/checkpoints; per-row valid specification when applicable
core__go1__ppo__s2,core,go1,ppo,2,32768000,wsl_core,planned_not_submitted,none_approved,installed; production release requires READY.json,verified source/runtime/checkpoints; per-row valid specification when applicable
core__go1__ppo__s3,core,go1,ppo,3,32768000,wsl_core,planned_not_submitted,none_approved,installed; production release requires READY.json,verified source/runtime/checkpoints; per-row valid specification when applicable
core__go1__ppo__s4,core,go1,ppo,4,32768000,wsl_core,planned_not_submitted,none_approved,installed; production release requires READY.json,verified source/runtime/checkpoints; per-row valid specification when applicable
llm_reference__cheetah__nesy__s0,llm_reference,cheetah,nesy,0,52428800,wsl_core,planned_not_submitted,none_approved,installed; production release requires READY.json,verified source/runtime/checkpoints; per-row valid specification when applicable
llm_reference__cheetah__nesy__s1,llm_reference,cheetah,nesy,1,52428800,wsl_core,planned_not_submitted,none_approved,installed; production release requires READY.json,verified source/runtime/checkpoints; per-row valid specification when applicable
llm_reference__cheetah__nesy__s2,llm_reference,cheetah,nesy,2,52428800,wsl_core,planned_not_submitted,none_approved,installed; production release requires READY.json,verified source/runtime/checkpoints; per-row valid specification when applicable
llm_reference__cheetah__nesy__s3,llm_reference,cheetah,nesy,3,52428800,wsl_core,planned_not_submitted,none_approved,installed; production release requires READY.json,verified source/runtime/checkpoints; per-row valid specification when applicable
llm_reference__cheetah__nesy__s4,llm_reference,cheetah,nesy,4,52428800,wsl_core,planned_not_submitted,none_approved,installed; production release requires READY.json,verified source/runtime/checkpoints; per-row valid specification when applicable
llm_pilot__cheetah__initial__g0__s900,llm_pilot,cheetah,initial,900,13107200,wsl_core,planned_not_submitted,none_approved,installed; production release requires READY.json,verified source/runtime/checkpoints; per-row valid specification when applicable
llm_final__cheetah__initial__g0__s0,llm_final,cheetah,initial,0,52428800,wsl_core,planned_not_submitted,none_approved,installed; production release requires READY.json,verified source/runtime/checkpoints; per-row valid specification when applicable
llm_final__cheetah__initial__g0__s1,llm_final,cheetah,initial,1,52428800,wsl_core,planned_not_submitted,none_approved,installed; production release requires READY.json,verified source/runtime/checkpoints; per-row valid specification when applicable
llm_final__cheetah__refined__g0__s0,llm_final,cheetah,refined,0,52428800,wsl_core,planned_not_submitted,none_approved,installed; production release requires READY.json,verified source/runtime/checkpoints; per-row valid specification when applicable
llm_final__cheetah__refined__g0__s1,llm_final,cheetah,refined,1,52428800,wsl_core,planned_not_submitted,none_approved,installed; production release requires READY.json,verified source/runtime/checkpoints; per-row valid specification when applicable
llm_final__cheetah__resample__g0__s0,llm_final,cheetah,resample,0,52428800,wsl_core,planned_not_submitted,none_approved,installed; production release requires READY.json,verified source/runtime/checkpoints; per-row valid specification when applicable
llm_final__cheetah__resample__g0__s1,llm_final,cheetah,resample,1,52428800,wsl_core,planned_not_submitted,none_approved,installed; production release requires READY.json,verified source/runtime/checkpoints; per-row valid specification when applicable
llm_pilot__cheetah__initial__g1__s901,llm_pilot,cheetah,initial,901,13107200,wsl_core,planned_not_submitted,none_approved,installed; production release requires READY.json,verified source/runtime/checkpoints; per-row valid specification when applicable
llm_final__cheetah__initial__g1__s0,llm_final,cheetah,initial,0,52428800,wsl_core,planned_not_submitted,none_approved,installed; production release requires READY.json,verified source/runtime/checkpoints; per-row valid specification when applicable
llm_final__cheetah__initial__g1__s1,llm_final,cheetah,initial,1,52428800,wsl_core,planned_not_submitted,none_approved,installed; production release requires READY.json,verified source/runtime/checkpoints; per-row valid specification when applicable
llm_final__cheetah__refined__g1__s0,llm_final,cheetah,refined,0,52428800,wsl_core,planned_not_submitted,none_approved,installed; production release requires READY.json,verified source/runtime/checkpoints; per-row valid specification when applicable
llm_final__cheetah__refined__g1__s1,llm_final,cheetah,refined,1,52428800,wsl_core,planned_not_submitted,none_approved,installed; production release requires READY.json,verified source/runtime/checkpoints; per-row valid specification when applicable
llm_final__cheetah__resample__g1__s0,llm_final,cheetah,resample,0,52428800,wsl_core,planned_not_submitted,none_approved,installed; production release requires READY.json,verified source/runtime/checkpoints; per-row valid specification when applicable
llm_final__cheetah__resample__g1__s1,llm_final,cheetah,resample,1,52428800,wsl_core,planned_not_submitted,none_approved,installed; production release requires READY.json,verified source/runtime/checkpoints; per-row valid specification when applicable
llm_pilot__cheetah__initial__g2__s902,llm_pilot,cheetah,initial,902,13107200,wsl_core,planned_not_submitted,none_approved,installed; production release requires READY.json,verified source/runtime/checkpoints; per-row valid specification when applicable
llm_final__cheetah__initial__g2__s0,llm_final,cheetah,initial,0,52428800,wsl_core,planned_not_submitted,none_approved,installed; production release requires READY.json,verified source/runtime/checkpoints; per-row valid specification when applicable
llm_final__cheetah__initial__g2__s1,llm_final,cheetah,initial,1,52428800,wsl_core,planned_not_submitted,none_approved,installed; production release requires READY.json,verified source/runtime/checkpoints; per-row valid specification when applicable
llm_final__cheetah__refined__g2__s0,llm_final,cheetah,refined,0,52428800,wsl_core,planned_not_submitted,none_approved,installed; production release requires READY.json,verified source/runtime/checkpoints; per-row valid specification when applicable
llm_final__cheetah__refined__g2__s1,llm_final,cheetah,refined,1,52428800,wsl_core,planned_not_submitted,none_approved,installed; production release requires READY.json,verified source/runtime/checkpoints; per-row valid specification when applicable
llm_final__cheetah__resample__g2__s0,llm_final,cheetah,resample,0,52428800,wsl_core,planned_not_submitted,none_approved,installed; production release requires READY.json,verified source/runtime/checkpoints; per-row valid specification when applicable
llm_final__cheetah__resample__g2__s1,llm_final,cheetah,resample,1,52428800,wsl_core,planned_not_submitted,none_approved,installed; production release requires READY.json,verified source/runtime/checkpoints; per-row valid specification when applicable
llm_reference__walker__nesy__s0,llm_reference,walker,nesy,0,52428800,wsl_core,planned_not_submitted,none_approved,installed; production release requires READY.json,verified source/runtime/checkpoints; per-row valid specification when applicable
llm_reference__walker__nesy__s1,llm_reference,walker,nesy,1,52428800,wsl_core,planned_not_submitted,none_approved,installed; production release requires READY.json,verified source/runtime/checkpoints; per-row valid specification when applicable
llm_reference__walker__nesy__s2,llm_reference,walker,nesy,2,52428800,wsl_core,planned_not_submitted,none_approved,installed; production release requires READY.json,verified source/runtime/checkpoints; per-row valid specification when applicable
llm_reference__walker__nesy__s3,llm_reference,walker,nesy,3,52428800,wsl_core,planned_not_submitted,none_approved,installed; production release requires READY.json,verified source/runtime/checkpoints; per-row valid specification when applicable
llm_reference__walker__nesy__s4,llm_reference,walker,nesy,4,52428800,wsl_core,planned_not_submitted,none_approved,installed; production release requires READY.json,verified source/runtime/checkpoints; per-row valid specification when applicable
llm_pilot__walker__initial__g0__s900,llm_pilot,walker,initial,900,13107200,wsl_core,planned_not_submitted,none_approved,installed; production release requires READY.json,verified source/runtime/checkpoints; per-row valid specification when applicable
llm_final__walker__initial__g0__s0,llm_final,walker,initial,0,52428800,wsl_core,planned_not_submitted,none_approved,installed; production release requires READY.json,verified source/runtime/checkpoints; per-row valid specification when applicable
llm_final__walker__initial__g0__s1,llm_final,walker,initial,1,52428800,wsl_core,planned_not_submitted,none_approved,installed; production release requires READY.json,verified source/runtime/checkpoints; per-row valid specification when applicable
llm_final__walker__refined__g0__s0,llm_final,walker,refined,0,52428800,wsl_core,planned_not_submitted,none_approved,installed; production release requires READY.json,verified source/runtime/checkpoints; per-row valid specification when applicable
llm_final__walker__refined__g0__s1,llm_final,walker,refined,1,52428800,wsl_core,planned_not_submitted,none_approved,installed; production release requires READY.json,verified source/runtime/checkpoints; per-row valid specification when applicable
llm_final__walker__resample__g0__s0,llm_final,walker,resample,0,52428800,wsl_core,planned_not_submitted,none_approved,installed; production release requires READY.json,verified source/runtime/checkpoints; per-row valid specification when applicable
llm_final__walker__resample__g0__s1,llm_final,walker,resample,1,52428800,wsl_core,planned_not_submitted,none_approved,installed; production release requires READY.json,verified source/runtime/checkpoints; per-row valid specification when applicable
llm_pilot__walker__initial__g1__s901,llm_pilot,walker,initial,901,13107200,wsl_core,planned_not_submitted,none_approved,installed; production release requires READY.json,verified source/runtime/checkpoints; per-row valid specification when applicable
llm_final__walker__initial__g1__s0,llm_final,walker,initial,0,52428800,wsl_core,planned_not_submitted,none_approved,installed; production release requires READY.json,verified source/runtime/checkpoints; per-row valid specification when applicable
llm_final__walker__initial__g1__s1,llm_final,walker,initial,1,52428800,wsl_core,planned_not_submitted,none_approved,installed; production release requires READY.json,verified source/runtime/checkpoints; per-row valid specification when applicable
llm_final__walker__refined__g1__s0,llm_final,walker,refined,0,52428800,wsl_core,planned_not_submitted,none_approved,installed; production release requires READY.json,verified source/runtime/checkpoints; per-row valid specification when applicable
llm_final__walker__refined__g1__s1,llm_final,walker,refined,1,52428800,wsl_core,planned_not_submitted,none_approved,installed; production release requires READY.json,verified source/runtime/checkpoints; per-row valid specification when applicable
llm_final__walker__resample__g1__s0,llm_final,walker,resample,0,52428800,wsl_core,planned_not_submitted,none_approved,installed; production release requires READY.json,verified source/runtime/checkpoints; per-row valid specification when applicable
llm_final__walker__resample__g1__s1,llm_final,walker,resample,1,52428800,wsl_core,planned_not_submitted,none_approved,installed; production release requires READY.json,verified source/runtime/checkpoints; per-row valid specification when applicable
llm_pilot__walker__initial__g2__s902,llm_pilot,walker,initial,902,13107200,wsl_core,planned_not_submitted,none_approved,installed; production release requires READY.json,verified source/runtime/checkpoints; per-row valid specification when applicable
llm_final__walker__initial__g2__s0,llm_final,walker,initial,0,52428800,wsl_core,planned_not_submitted,none_approved,installed; production release requires READY.json,verified source/runtime/checkpoints; per-row valid specification when applicable
llm_final__walker__initial__g2__s1,llm_final,walker,initial,1,52428800,wsl_core,planned_not_submitted,none_approved,installed; production release requires READY.json,verified source/runtime/checkpoints; per-row valid specification when applicable
llm_final__walker__refined__g2__s0,llm_final,walker,refined,0,52428800,wsl_core,planned_not_submitted,none_approved,installed; production release requires READY.json,verified source/runtime/checkpoints; per-row valid specification when applicable
llm_final__walker__refined__g2__s1,llm_final,walker,refined,1,52428800,wsl_core,planned_not_submitted,none_approved,installed; production release requires READY.json,verified source/runtime/checkpoints; per-row valid specification when applicable
llm_final__walker__resample__g2__s0,llm_final,walker,resample,0,52428800,wsl_core,planned_not_submitted,none_approved,installed; production release requires READY.json,verified source/runtime/checkpoints; per-row valid specification when applicable
llm_final__walker__resample__g2__s1,llm_final,walker,resample,1,52428800,wsl_core,planned_not_submitted,none_approved,installed; production release requires READY.json,verified source/runtime/checkpoints; per-row valid specification when applicable
rgb__cartpole__state__s0,rgb,cartpole,state,0,2048000,wsl_rgb,planned_not_submitted,none_approved,installed; production release requires READY.json,verified source/runtime/checkpoints; per-row valid specification when applicable
rgb__cartpole__state__s1,rgb,cartpole,state,1,2048000,wsl_rgb,planned_not_submitted,none_approved,installed; production release requires READY.json,verified source/runtime/checkpoints; per-row valid specification when applicable
rgb__cartpole__state__s2,rgb,cartpole,state,2,2048000,wsl_rgb,planned_not_submitted,none_approved,installed; production release requires READY.json,verified source/runtime/checkpoints; per-row valid specification when applicable
rgb__cartpole__state__s3,rgb,cartpole,state,3,2048000,wsl_rgb,planned_not_submitted,none_approved,installed; production release requires READY.json,verified source/runtime/checkpoints; per-row valid specification when applicable
rgb__cartpole__state__s4,rgb,cartpole,state,4,2048000,wsl_rgb,planned_not_submitted,none_approved,installed; production release requires READY.json,verified source/runtime/checkpoints; per-row valid specification when applicable
rgb__cartpole__pixels__s0,rgb,cartpole,pixels,0,2048000,wsl_rgb,planned_not_submitted,none_approved,installed; production release requires READY.json,verified source/runtime/checkpoints; per-row valid specification when applicable
rgb__cartpole__pixels__s1,rgb,cartpole,pixels,1,2048000,wsl_rgb,planned_not_submitted,none_approved,installed; production release requires READY.json,verified source/runtime/checkpoints; per-row valid specification when applicable
rgb__cartpole__pixels__s2,rgb,cartpole,pixels,2,2048000,wsl_rgb,planned_not_submitted,none_approved,installed; production release requires READY.json,verified source/runtime/checkpoints; per-row valid specification when applicable
rgb__cartpole__pixels__s3,rgb,cartpole,pixels,3,2048000,wsl_rgb,planned_not_submitted,none_approved,installed; production release requires READY.json,verified source/runtime/checkpoints; per-row valid specification when applicable
rgb__cartpole__pixels__s4,rgb,cartpole,pixels,4,2048000,wsl_rgb,planned_not_submitted,none_approved,installed; production release requires READY.json,verified source/runtime/checkpoints; per-row valid specification when applicable
rgb__cartpole__constant__s0,rgb,cartpole,constant,0,2048000,wsl_rgb,planned_not_submitted,none_approved,installed; production release requires READY.json,verified source/runtime/checkpoints; per-row valid specification when applicable
rgb__cartpole__constant__s1,rgb,cartpole,constant,1,2048000,wsl_rgb,planned_not_submitted,none_approved,installed; production release requires READY.json,verified source/runtime/checkpoints; per-row valid specification when applicable
rgb__cartpole__constant__s2,rgb,cartpole,constant,2,2048000,wsl_rgb,planned_not_submitted,none_approved,installed; production release requires READY.json,verified source/runtime/checkpoints; per-row valid specification when applicable
rgb__cartpole__constant__s3,rgb,cartpole,constant,3,2048000,wsl_rgb,planned_not_submitted,none_approved,installed; production release requires READY.json,verified source/runtime/checkpoints; per-row valid specification when applicable
rgb__cartpole__constant__s4,rgb,cartpole,constant,4,2048000,wsl_rgb,planned_not_submitted,none_approved,installed; production release requires READY.json,verified source/runtime/checkpoints; per-row valid specification when applicable
rgb__walker__state__s0,rgb,walker,state,0,2048000,wsl_rgb,planned_not_submitted,none_approved,installed; production release requires READY.json,verified source/runtime/checkpoints; per-row valid specification when applicable
rgb__walker__state__s1,rgb,walker,state,1,2048000,wsl_rgb,planned_not_submitted,none_approved,installed; production release requires READY.json,verified source/runtime/checkpoints; per-row valid specification when applicable
rgb__walker__state__s2,rgb,walker,state,2,2048000,wsl_rgb,planned_not_submitted,none_approved,installed; production release requires READY.json,verified source/runtime/checkpoints; per-row valid specification when applicable
rgb__walker__state__s3,rgb,walker,state,3,2048000,wsl_rgb,planned_not_submitted,none_approved,installed; production release requires READY.json,verified source/runtime/checkpoints; per-row valid specification when applicable
rgb__walker__state__s4,rgb,walker,state,4,2048000,wsl_rgb,planned_not_submitted,none_approved,installed; production release requires READY.json,verified source/runtime/checkpoints; per-row valid specification when applicable
rgb__walker__pixels__s0,rgb,walker,pixels,0,2048000,wsl_rgb,planned_not_submitted,none_approved,installed; production release requires READY.json,verified source/runtime/checkpoints; per-row valid specification when applicable
rgb__walker__pixels__s1,rgb,walker,pixels,1,2048000,wsl_rgb,planned_not_submitted,none_approved,installed; production release requires READY.json,verified source/runtime/checkpoints; per-row valid specification when applicable
rgb__walker__pixels__s2,rgb,walker,pixels,2,2048000,wsl_rgb,planned_not_submitted,none_approved,installed; production release requires READY.json,verified source/runtime/checkpoints; per-row valid specification when applicable
rgb__walker__pixels__s3,rgb,walker,pixels,3,2048000,wsl_rgb,planned_not_submitted,none_approved,installed; production release requires READY.json,verified source/runtime/checkpoints; per-row valid specification when applicable
rgb__walker__pixels__s4,rgb,walker,pixels,4,2048000,wsl_rgb,planned_not_submitted,none_approved,installed; production release requires READY.json,verified source/runtime/checkpoints; per-row valid specification when applicable
rgb__walker__constant__s0,rgb,walker,constant,0,2048000,wsl_rgb,planned_not_submitted,none_approved,installed; production release requires READY.json,verified source/runtime/checkpoints; per-row valid specification when applicable
rgb__walker__constant__s1,rgb,walker,constant,1,2048000,wsl_rgb,planned_not_submitted,none_approved,installed; production release requires READY.json,verified source/runtime/checkpoints; per-row valid specification when applicable
rgb__walker__constant__s2,rgb,walker,constant,2,2048000,wsl_rgb,planned_not_submitted,none_approved,installed; production release requires READY.json,verified source/runtime/checkpoints; per-row valid specification when applicable
rgb__walker__constant__s3,rgb,walker,constant,3,2048000,wsl_rgb,planned_not_submitted,none_approved,installed; production release requires READY.json,verified source/runtime/checkpoints; per-row valid specification when applicable
rgb__walker__constant__s4,rgb,walker,constant,4,2048000,wsl_rgb,planned_not_submitted,none_approved,installed; production release requires READY.json,verified source/runtime/checkpoints; per-row valid specification when applicable
